# wn (scale x 1.083)	PP 75 mu 
48.1609208	0.9724281
48.2116699	0.9719836
48.262419	0.9715428
48.3131682	0.9711047
48.3639173	0.9706686
48.4146664	0.9702329
48.4654156	0.9697959
48.5161647	0.9693562
48.5669138	0.9689119
48.6176629	0.9684623
48.6684121	0.968007
48.7191612	0.9675458
48.7699103	0.9670799
48.8206594	0.9666098
48.8714086	0.9661371
48.9221577	0.9656629
48.9729068	0.965188
49.0236559	0.9647133
49.0744051	0.9642394
49.1251542	0.9637664
49.1759033	0.9632945
49.2266524	0.9628235
49.2774016	0.9623533
49.3281507	0.961884
49.3788998	0.9614152
49.429649	0.9609464
49.4803981	0.9604767
49.5311472	0.9600055
49.5818963	0.9595307
49.6326455	0.9590512
49.6833946	0.9585652
49.7341437	0.9580713
49.7848928	0.9575683
49.835642	0.9570554
49.8863911	0.9565328
49.9371402	0.956001
49.9878893	0.955461
50.0386385	0.9549151
50.0893876	0.9543651
50.1401367	0.9538131
50.1908858	0.9532608
50.241635	0.9527101
50.2923841	0.9521618
50.3431332	0.9516162
50.3938823	0.9510729
50.4446315	0.9505312
50.4953806	0.9499901
50.5461297	0.9494482
50.5968789	0.9489046
50.647628	0.9483578
50.6983771	0.9478076
50.7491262	0.9472536
50.7998754	0.9466958
50.8506245	0.9461345
50.9013736	0.9455702
50.9521227	0.9450034
51.0028719	0.9444342
51.053621	0.943863
51.1043701	0.9432901
51.1551192	0.9427153
51.2058684	0.9421393
51.2566175	0.9415626
51.3073666	0.940986
51.3581157	0.9404116
51.4088649	0.9398403
51.459614	0.9392738
51.5103631	0.938714
51.5611123	0.9381612
51.6118614	0.9376158
51.6626105	0.9370773
51.7133596	0.9365439
51.7641088	0.9360133
51.8148579	0.9354826
51.865607	0.9349486
51.9163561	0.9344082
51.9671053	0.9338587
52.0178544	0.933298
52.0686035	0.932725
52.1193526	0.9321384
52.1701018	0.93154
52.2208509	0.9309305
52.2716	0.9303125
52.3223491	0.929689
52.3730983	0.9290632
52.4238474	0.9284384
52.4745965	0.9278183
52.5253457	0.927205
52.5760948	0.9265999
52.6268439	0.9260028
52.677593	0.9254127
52.7283422	0.9248257
52.7790913	0.9242377
52.8298404	0.9236432
52.8805895	0.9230372
52.9313387	0.9224146
52.9820878	0.9217728
53.0328369	0.9211108
53.083586	0.920431
53.1343352	0.9197383
53.1850843	0.91904
53.2358334	0.9183455
53.2865825	0.9176651
53.3373317	0.9170079
53.3880808	0.9163826
53.4388299	0.9157946
53.4895791	0.9152466
53.5403282	0.9147377
53.5910773	0.9142644
53.6418264	0.9138199
53.6925756	0.9133968
53.7433247	0.9129865
53.7940738	0.9125805
53.8448229	0.912172
53.8955721	0.9117551
53.9463212	0.9113256
53.9970703	0.910881
54.0478194	0.91042
54.0985686	0.9099428
54.1493177	0.9094503
54.2000668	0.9089436
54.2508159	0.908424
54.3015651	0.9078937
54.3523142	0.9073538
54.4030633	0.9068061
54.4538124	0.9062518
54.5045616	0.905692
54.5553107	0.905127
54.6060598	0.9045568
54.656809	0.9039794
54.7075581	0.9033924
54.7583072	0.9027917
54.8090563	0.9021721
54.8598055	0.9015275
54.9105546	0.9008514
54.9613037	0.900138
55.0120528	0.8993833
55.062802	0.8985851
55.1135511	0.8977455
55.1643002	0.8968701
55.2150493	0.8959697
55.2657985	0.8950587
55.3165476	0.8941554
55.3672967	0.8932808
55.4180458	0.8924563
55.468795	0.8917021
55.5195441	0.8910353
55.5702932	0.8904674
55.6210424	0.8900033
55.6717915	0.889641
55.7225406	0.8893712
55.7732897	0.8891785
55.8240389	0.8890427
55.874788	0.8889415
55.9255371	0.8888525
55.9762862	0.8887545
56.0270354	0.8886303
56.0777845	0.8884667
56.1285336	0.8882564
56.1792827	0.887997
56.2300319	0.8876904
56.280781	0.8873419
56.3315301	0.8869589
56.3822792	0.8865486
56.4330284	0.8861171
56.4837775	0.8856682
56.5345266	0.8852022
56.5852758	0.884716
56.6360249	0.8842041
56.686774	0.8836585
56.7375231	0.8830724
56.7882723	0.8824407
56.8390214	0.8817609
56.8897705	0.8810371
56.9405196	0.8802786
56.9912688	0.8795002
57.0420179	0.8787225
57.092767	0.877969
57.1435161	0.877263
57.1942653	0.8766263
57.2450144	0.8760751
57.2957635	0.8756185
57.3465126	0.8752573
57.3972618	0.874984
57.4480109	0.8747839
57.49876	0.8746368
57.5495091	0.8745208
57.6002583	0.874414
57.6510074	0.8742974
57.7017565	0.8741564
57.7525057	0.8739817
57.8032548	0.8737688
57.8540039	0.8735182
57.904753	0.873234
57.9555022	0.8729214
58.0062513	0.8725865
58.0570004	0.8722351
58.1077495	0.8718709
58.1584987	0.8714961
58.2092478	0.8711115
58.2599969	0.8707168
58.310746	0.8703111
58.3614952	0.8698942
58.4122443	0.8694668
58.4629934	0.8690309
58.5137425	0.8685894
58.5644917	0.8681469
58.6152408	0.8677076
58.6659899	0.8672768
58.7167391	0.8668587
58.7674882	0.8664563
58.8182373	0.8660718
58.8689864	0.8657063
58.9197356	0.8653588
58.9704847	0.8650281
59.0212338	0.864711
59.0719829	0.8644043
59.1227321	0.8641029
59.1734812	0.8638018
59.2242303	0.8634947
59.2749794	0.8631756
59.3257286	0.8628382
59.3764777	0.8624771
59.4272268	0.8620884
59.4779759	0.8616706
59.5287251	0.8612254
59.5794742	0.8607578
59.6302233	0.8602769
59.6809725	0.8597948
59.7317216	0.8593255
59.7824707	0.8588839
59.8332198	0.8584834
59.883969	0.8581351
59.9347181	0.8578448
59.9854672	0.8576134
